DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025.07.11,14:00,Béchar Djedid , Témouchent,12,12,76,33,67,58,42,ACC
2025.07.11,14:00,Hussein Dey , WA Mostaganem,70,15,15,38,62,68,32,ACC
2025.07.11,14:00,Tiaret , Usm El Harrach,43,28,28,40,60,73,27,ACC
2025.07.11,14:00,Koléa , RC Kouba,57,21,21,32,68,61,39,ACC
2025.07.11,14:00,WA Tlemcen , ASM Oran,60,20,20,39,61,65,35,ACC
2025.07.11,08:35,Adelaide United , Western Sydney Wanderers,55,22,22,36,64,70,30,ACC
2025.07.11,10:45,Perth Glory , Central Coast Mariners,69,15,15,31,69,59,41,ACC
2025.07.11,17:00,SKU Amstetten , Stripfing,79,10,10,40,60,57,43,ACC
2025.07.11,17:00,FC Liefering , SV Kapfenberg,67,16,16,34,66,59,41,ACC
2025.07.11,17:00,WSPG Wels , First Vienna,21,21,58,37,63,70,30,ACC
2025.07.11,19:30,Admira Wacker , SKN ST. Polten,63,18,18,33,67,66,34,ACC
2025.07.11,18:00,Wallern / Marienkirchen , Kalsdorf,42,29,29,36,64,70,30,ACC
2025.07.11,18:00,Deutschlandsberger SC , Oedt,17,17,66,34,66,72,28,ACC
2025.07.11,13:00,Qabala , Sumqayıt,63,18,18,31,69,59,41,ACC
2025.07.11,13:20,Al Ahli Club , Bahrain SC,69,15,15,40,60,64,36,ACC
2025.07.11,16:00,Al Shabab Manama , Malkiya,23,54,23,30,70,62,38,ACC
2025.07.11,10:00,Molodechno-DYuSSh 4 , ML Vitebsk,10,10,79,31,69,62,38,ACC
2025.07.11,13:00,FC Gomel , Dinamo Brest,24,24,52,37,63,57,43,ACC
2025.07.11,19:45,Dender , Zulte-Waregem,24,51,24,36,64,70,30,ACC
2025.07.11,19:00,Lommel , SK Beveren,18,18,64,35,65,67,33,ACC
2025.07.11,19:00,RFC Liege , Gent II,69,15,15,34,66,59,41,ACC
2025.07.11,00:30,Palmeiras , Santos,70,15,15,71,29,42,58,ACC
2025.07.11,22:00,Athletic Club MG , Ferroviaria,58,21,21,63,37,41,59,ACC
2025.07.11,13:00,Spartak Varna , Septemvri Sofia,45,27,27,37,63,68,32,ACC
2025.07.11,15:30,Botev Plovdiv , Dobrudzha 1919 Dobrich,55,22,22,39,61,63,37,ACC
2025.07.11,12:30,CSKA Sofia II , FK Minyor Pernik,78,11,11,29,71,59,41,ACC
2025.07.11,23:00,Union La Calera , Deportes Iquique,68,16,16,33,67,61,39,ACC
2025.07.11,20:30,Envigado FC , Millonarios,21,21,58,67,33,31,69,ACC
2025.07.11,01:20,Popayan , Real Soacha,26,26,47,30,70,60,40,ACC
2025.07.11,21:00,Jaguares , Internacional Palmira,57,21,21,33,67,64,36,ACC
2025.07.11,17:00,HNK Gorica , Vukovar 1991,61,19,19,39,61,63,37,ACC
2025.07.11,13:00,Orijent , NK Rudes,62,19,19,63,37,32,68,ACC
2025.07.11,17:00,AEL , Enosis,68,16,16,31,69,66,34,ACC
2025.07.11,17:00,Digenis Morphou , Ahironas / Onisilos,71,14,14,39,61,63,37,ACC
2025.07.11,16:00,FC Silon Taborsko , Vysocina Jihlava,56,22,22,39,61,71,29,ACC
2025.07.11,17:00,Ceske Budejovice , Opava,16,16,68,39,61,70,30,ACC
2025.07.11,17:00,FK Pribram , Viktoria Zizkov,54,23,23,35,65,72,28,ACC
2025.07.11,16:00,Hranice , Zbrojovka Brno II,20,20,59,33,67,68,32,ACC
2025.07.11,17:00,Hlučín , Vrchovina,68,16,16,34,66,59,41,ACC
2025.07.11,18:00,Odense BK , Silkeborg IF,57,21,21,37,63,73,27,ACC
2025.07.11,17:00,Hobro IK , Aarhus Fremad,21,21,58,32,68,61,39,ACC
2025.07.11,17:30,HB Køge , Hillerød,21,21,58,40,60,59,41,ACC
2025.07.11,18:00,Kolding IF , AC Horsens,28,43,28,40,60,56,44,ACC
2025.07.11,17:30,Skive , Roskilde,19,19,62,39,61,70,30,ACC
2025.07.11,18:00,HIK , FC Helsingor,69,15,15,39,61,60,40,ACC
2025.07.11,20:00,Watford , Bristol City,63,18,18,37,63,62,38,ACC
2025.07.11,19:45,Paris FC , Rennes,56,22,22,30,70,68,32,ACC
2025.07.11,19:00,SC Bastia , Reims,22,22,55,71,29,42,58,ACC
2025.07.11,19:00,Clermont Foot , Amiens,64,18,18,37,63,68,32,ACC
2025.07.11,19:00,Dunkerque , Boulogne,66,17,17,60,40,36,64,ACC
2025.07.11,19:00,Grenoble , Rodez,56,22,22,35,65,72,28,ACC
2025.07.11,19:00,Montpellier , Annecy,55,22,22,62,38,39,61,ACC
2025.07.11,19:00,Nancy , Laval,57,21,21,68,32,29,71,ACC
2025.07.11,18:30,Aubagne , Le Puy Foot,26,48,26,38,62,67,33,ACC
2025.07.11,18:30,Bourg-en-bresse 01 , Dijon,15,15,69,30,70,61,39,ACC
2025.07.11,18:30,Caen , Gobelins,69,15,15,32,68,57,43,ACC
2025.07.11,18:30,Concarneau , Orleans,28,28,44,39,61,71,29,ACC
2025.07.11,18:30,Fleury 91 , Sochaux,28,43,28,35,65,68,32,ACC
2025.07.11,18:30,Quevilly , Chateauroux,64,18,18,36,64,60,40,ACC
2025.07.11,18:30,Versailles , Valenciennes,60,20,20,32,68,68,32,ACC
2025.07.11,18:30,Villefranche , Stade Briochin,56,22,22,31,69,66,34,ACC
2025.07.11,15:00,Gareji , Dinamo Tbilisi,20,20,60,35,65,70,30,ACC
2025.07.11,16:00,Gagra , Kolkheti Poti,69,15,15,40,60,63,37,ACC
2025.07.11,10:00,Merani Martvili , Dinamo Tbilisi II,68,16,16,33,67,69,31,ACC
2025.07.11,10:00,Saburtalo II , Sioni,17,17,65,33,67,62,38,ACC
2025.07.11,19:30,Werder Bremen , Wolfsburg,58,21,21,37,63,72,28,ACC
2025.07.11,17:30,Dynamo Dresden , Nurnberg,28,44,28,31,69,64,36,ACC
2025.07.11,17:30,Greuther Furth , SC Preussen Munster,17,65,17,31,69,71,29,ACC
2025.07.11,18:00,MSV Duisburg , Waldhof Mannheim,66,17,17,39,61,59,41,ACC
2025.07.11,18:00,Buchbach , Eichstätt,28,28,43,32,68,71,29,ACC
2025.07.11,18:00,Bayreuth , Aubstadt,58,21,21,36,64,73,27,ACC
2025.07.11,18:00,Wacker Burghausen , SpVgg Unterhaching,18,18,64,29,71,62,38,ACC
2025.07.11,18:00,BFC Dynamo , FC Carl Zeiss Jena,16,16,67,40,60,61,39,ACC
2025.07.11,18:00,Chemnitzer FC , Altglienicke,59,20,20,37,63,64,36,ACC
2025.07.11,18:00,Hallescher FC , SV Babelsberg 03,67,16,16,30,70,64,36,ACC
2025.07.11,18:00,Luckenwalde , Hertha BSC II,68,16,16,30,70,63,37,ACC
2025.07.11,01:30,Municipal , Mictlán,74,13,13,36,64,60,40,ACC
2025.07.11,08:30,Bhayangkara FC , Bali United,61,19,19,30,70,60,40,ACC
2025.07.11,12:00,Persik Kediri , Persebaya Surabaya,69,15,15,30,70,71,29,ACC
