DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
07/11/25,14:00,Béchar Djedid,Témouchent,25,4,71,71,29,34,66,FST
07/11/25,14:00,Hussein Dey,WA Mostaganem,73,11,16,71,29,33,67,FST
07/11/25,14:00,Tiaret,Usm El Harrach,59,16,25,74,26,39,61,FST
07/11/25,14:00,Koléa,RC Kouba,32,44,24,74,26,59,41,FST
07/11/25,14:00,WA Tlemcen,ASM Oran,59,19,22,26,74,64,36,FST
07/11/25,08:35,Adelaide United,Western Sydney Wanderers,53,35,12,24,76,86,14,FST
07/11/25,10:45,Perth Glory,Central Coast Mariners,60,13,27,35,65,77,23,FST
07/11/25,17:00,FC Liefering,SV Kapfenberg,58,15,27,38,62,70,30,FST
07/11/25,17:00,WSPG Wels,First Vienna,4,46,50,42,58,60,40,FST
07/11/25,19:30,Admira Wacker,SKN ST. Polten,48,34,18,42,58,61,39,FST
07/11/25,10:00,Keshla FC,Mil-Muğan,56,29,15,28,72,68,32,FST
07/11/25,13:00,Qabala,Sumqayıt,49,34,17,68,32,40,60,FST
07/11/25,13:20,Al Ahli,Bahrain SC,64,14,22,60,40,38,62,FST
07/11/25,16:00,Al Shabab,Malkiya,20,49,31,68,32,36,64,FST
07/11/25,19:45,Dender,Zulte-Waregem,32,45,23,38,62,70,30,FST
07/11/25,19:00,Lommel,SK Beveren,34,6,60,39,61,66,34,FST
07/11/25,19:00,RFC Liege,Gent II,54,34,12,35,65,71,29,FST
07/11/25,00:30,Palmeiras,Santos,73,14,13,58,42,33,67,FST
07/11/25,22:00,Athletic Club MG,Ferroviaria,57,19,24,63,37,36,64,FST
07/11/25,13:00,Spartak Varna,Septemvri Sofia,47,33,20,42,58,62,38,FST
07/11/25,15:30,Botev Plovdiv,Dobrudzha 1919 Dobrich,65,14,21,41,59,59,41,FST
07/11/25,12:30,CSKA Sofia II,FK Minyor Pernik,75,10,15,60,40,32,68,FST
07/11/25,23:00,Union La Calera,Deportes Iquique,53,32,15,35,65,67,33,FST
07/11/25,20:30,Envigado FC,Millonarios,40,4,56,65,35,36,64,FST
07/11/25,01:20,Popayan,Real Soacha,29,50,21,66,34,67,33,FST
07/11/25,21:00,Jaguares,Internacional Palmira,62,17,21,64,36,35,65,FST
07/11/25,17:00,HNK Gorica,Vukovar 1991,59,16,25,40,60,56,44,FST
07/11/25,13:00,Orijent,NK Rudes,57,16,27,73,27,33,67,FST
07/11/25,13:00,Mladost Ždralovi,Segesta Sisak,75,8,17,35,65,65,35,FST
07/11/25,17:00,AEL,Enosis,71,13,16,61,39,33,67,FST
07/11/25,17:00,Digenis Morphou,Ahironas / Onisilos,75,10,15,58,42,35,65,FST
07/11/25,16:00,FC Silon Taborsko,Vysocina Jihlava,74,10,16,39,61,59,41,FST
07/11/25,17:00,Ceske Budejovice,Opava,30,48,22,62,38,63,37,FST
07/11/25,17:00,FK Pribram,Viktoria Zizkov,30,48,22,42,58,62,38,FST
07/11/25,18:00,Odense BK,Silkeborg IF,52,33,15,33,67,70,30,FST
07/11/25,17:00,Hobro IK,Aarhus Fremad,7,37,56,36,64,62,38,FST
07/11/25,17:30,HB Køge,Hillerød,29,8,63,33,67,70,30,FST
07/11/25,18:00,Kolding IF,AC Horsens,17,57,26,64,36,56,44,FST
07/11/25,20:00,Watford,Bristol City,57,29,14,36,64,69,31,FST
07/11/25,19:45,Paris FC,Rennes,51,32,17,37,63,72,28,FST
07/11/25,19:00,SC Bastia,Reims,8,41,51,72,28,36,64,FST
07/11/25,19:00,Clermont Foot,Amiens,57,18,25,36,64,60,40,FST
07/11/25,19:00,Dunkerque,Boulogne,65,16,19,62,38,32,68,FST
07/11/25,19:00,Grenoble,Rodez,32,44,24,60,40,59,41,FST
07/11/25,19:00,Montpellier,Annecy,60,17,23,65,35,35,65,FST
07/11/25,19:00,Nancy,Laval,52,27,21,68,32,34,66,FST
07/11/25,15:00,Gareji,Dinamo Tbilisi,21,8,71,38,62,71,29,FST
07/11/25,16:00,Gagra,Kolkheti Poti,67,10,23,39,61,68,32,FST
07/11/25,19:30,Werder Bremen,Wolfsburg,49,32,19,33,67,68,32,FST
07/11/25,17:30,Greuther Furth,SC Preussen Munster,32,45,23,30,70,71,29,FST
07/11/25,17:30,Dynamo Dresden,Nurnberg,16,52,32,29,71,74,26,FST
07/11/25,18:00,MSV Duisburg,Waldhof Mannheim,55,17,28,38,62,72,28,FST
07/11/25,08:30,Bhayangkara FC,Bali United,17,53,30,62,38,34,66,FST
07/11/25,12:00,Persik Kediri,Persebaya Surabaya,52,33,15,68,32,38,62,FST
07/11/25,13:00,Persepolis FC,Esteghlal Khuzestan,84,5,11,40,60,67,33,FST
07/11/25,14:30,Foolad FC,Paykan,58,17,25,19,81,59,41,FST
07/11/25,13:00,Maccabi Herzliya,Hapoel Acre,64,13,23,37,63,57,43,FST
07/11/25,13:00,Hapoel Kfar Saba,Hapoel Ramat Gan,33,48,19,36,64,72,28,FST
07/11/25,13:00,Hapoel Raanana,Bnei Yehuda,16,52,32,66,34,59,41,FST
07/11/25,13:00,Hapoel Nazareth Illit,Maccabi Petah Tikva,3,8,89,31,69,25,75,FST
07/11/25,13:00,Hapoel Kfar Shalem,Kafr Qasim,50,33,17,39,61,67,33,FST
07/11/25,19:45,Pisa,Cremonese,50,30,20,68,32,32,68,FST
07/11/25,19:30,Spezia,Bari,61,16,23,70,30,34,66,FST
07/11/25,13:00,Bidco United,Tusker,6,45,49,20,80,61,39,FST
07/11/25,14:25,Al Salmiyah,Al Fahaheel,63,12,25,40,60,64,36,FST
07/11/25,16:40,Al Tadhamon,Al Shabab,51,34,15,39,61,62,38,FST
07/11/25,17:00,Riga,Rīgas FS,58,14,28,30,70,70,30,FST
07/11/25,02:00,Venados FC,Tlaxcala,64,10,26,34,66,36,64,FST
07/11/25,19:00,FC Twente,Telstar,82,6,12,24,76,64,36,FST
07/11/25,19:00,Almere City,Maastricht,74,9,17,25,75,71,29,FST
07/11/25,19:00,ADO Den Haag,Roda JC,80,8,12,25,75,63,37,FST
07/11/25,19:00,FC Eindhoven,FC Den Bosch,30,48,22,35,65,73,27,FST
07/11/25,19:00,Ajax Reserves,FC Dordrecht,4,45,51,25,75,78,22,FST
07/11/25,19:00,AZ Reserves,VVV,58,12,30,28,72,76,24,FST
07/11/25,19:00,FC Utrecht Reserves,FC Emmen,7,41,52,32,68,74,26,FST
07/11/25,19:00,Vitesse,Cambuur Leeuwarden,8,35,57,29,71,74,26,FST
07/11/25,19:00,Willem II,Top Oss,66,13,21,31,69,69,31,FST
07/11/25,21:30,Deportivo Recoleta,Sportivo Luqueno,52,34,14,39,61,62,38,FST
07/11/25,18:00,Cusco FC,Sport Boys,85,5,10,63,37,30,70,FST
07/11/25,20:15,Sporting Cristal,Cienciano,70,13,17,36,64,63,37,FST
07/11/25,17:00,Radomiak Radom,Cracovia Krakow,16,56,28,62,38,65,35,FST
07/11/25,19:30,Zaglebie Lubin,Gornik Zabrze,8,40,52,37,63,65,35,FST
07/11/25,17:00,Ruch Chorzow,Miedz Legnica,51,34,15,37,63,72,28,FST
07/11/25,19:30,Znicz Pruszków,Chrobry Glogow,29,50,21,42,58,64,36,FST
07/11/25,20:15,Estoril,FC Arouca,58,14,28,39,61,62,38,FST
07/11/25,18:00,Feirense,SC Farense,31,48,21,66,34,32,68,FST
07/11/25,16:00,Universitatea Cluj,Metaloglobus Bucuresti,75,14,11,58,42,29,71,FST
07/11/25,18:30,Farul Constanta,FC Botosani,51,33,16,38,62,64,36,FST
07/11/25,13:20,Al Feiha,Al Akhdoud,58,16,26,68,32,34,66,FST
07/11/25,14:35,Al Fateh SC,Al Taawon Buraidah,18,56,26,39,61,72,28,FST
07/11/25,17:30,Al Najma,Al Hilal Riyadh,6,5,89,24,76,36,64,FST
07/11/25,12:30,Al Taee,Al Wehda Club,62,13,25,61,39,36,64,FST
07/11/25,14:45,Al Baten,Al Diriyah,29,4,67,38,62,67,33,FST
07/11/25,15:25,Jeddah Club,Al Arabi SC,32,45,23,63,37,61,39,FST
07/11/25,19:45,Airdrieonians,Partick,25,6,69,39,61,60,40,FST
07/11/25,17:00,Zlaté Moravce,Inter Bratislava,72,9,19,32,68,69,31,FST
07/11/25,16:30,Mura,Koper,8,37,55,38,62,69,31,FST
07/11/25,19:15,Olimpija Ljubljana,Primorje,78,8,14,31,69,66,34,FST
07/11/25,20:00,Elche,Real Sociedad,15,54,31,66,34,61,39,FST
07/11/25,19:30,Mirandes,Sporting Gijon,8,36,56,70,30,37,63,FST
07/11/25,18:00,Sabadell,SD Tarazona,63,16,21,80,20,15,85,FST
07/11/25,20:15,Atletico Madrid B,Eldense,58,17,25,65,35,37,63,FST
07/11/25,18:30,Rapperswil,FC WIL 1900,33,50,17,37,63,70,30,FST
07/11/25,18:30,Stade Nyonnais,Étoile Carouge,17,51,32,35,65,72,28,FST
07/11/25,19:15,Neuchatel Xamax FC,Yverdon Sport,19,49,32,35,65,72,28,FST
07/11/25,12:00,Prachuap,Lamphun Warrior,63,12,25,40,60,67,33,FST
07/11/25,17:00,Genclerbirligi,Istanbul Basaksehir,41,4,55,38,62,63,37,FST
07/11/25,14:00,Bodrum FK,Istanbulspor,74,9,17,29,71,68,32,FST
07/11/25,17:00,Sariyer,Vanspor FK,52,32,16,35,65,58,42,FST
07/11/25,13:30,Epitsentr Dunayivtsi,Obolon-Brovar,30,50,20,64,36,56,44,FST
07/11/25,16:00,Kudrivka,Kolos Kovalivka,31,6,63,68,32,32,68,FST
07/11/25,19:30,Miramar Misiones,Racing Club de Montevideo,7,41,52,33,67,59,41,FST
07/11/25,22:30,Cerro Largo,Liverpool Montevideo,32,48,20,62,38,61,39,FST
07/11/25,13:00,Buxoro,Neftchi,30,5,65,35,65,62,38,FST
07/11/25,09:00,Văn Hiến,PVF-CAND,32,51,17,69,31,71,29,FST
07/11/25,13:00,Mutondo Stars,Green Buffaloes,28,52,20,78,22,33,67,FST
