DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
07/11/2025,0:00,Ceará SC,Fortaleza,44,34,22,61,39,39,61,Forebet
07/11/2025,0:00,Bolívar,Aurora FC,71,14,15,27,73,49,51,Forebet
07/11/2025,0:00,Deportivo Guastatoya,Deportivo Mixco,25,15,59,53,47,44,56,Forebet
07/11/2025,0:00,Real Madriz,Diriangén FC,13,21,65,62,38,49,51,Forebet
07/11/2025,0:10,Boyacá Chicó,América de Cali,22,35,44,55,45,40,60,Forebet
07/11/2025,1:00,CSKA Moscow U19,Spartak Moskva U19,43,33,25,42,58,79,21,Forebet
07/11/2025,1:30,Palmeiras,Santos,57,26,17,40,60,64,36,Forebet
07/11/2025,1:30,Juárez W,Tigres UANL W,16,29,55,41,59,71,29,Forebet
07/11/2025,2:00,Real Estelí,H&H Export,43,41,17,51,49,49,51,Forebet
07/11/2025,2:15,Monterrey W,América W,34,23,43,23,77,93,7,Forebet
07/11/2025,2:30,CSD Municipal,Deportivo Mictlán,63,24,13,31,69,64,36,Forebet
07/11/2025,3:00,Venados Yucatán,Tlaxcala,39,46,15,65,35,55,45,Forebet
07/11/2025,3:00,CSD Sacachispas,Santa Rosa,28,37,35,62,38,56,44,Forebet
07/11/2025,4:00,Guadalajara W,Toluca W,29,40,30,40,60,77,23,Forebet
07/11/2025,9:00,Perth Glory W,Brisbane Roar W,33,24,43,36,64,66,34,Forebet
07/11/2025,9:30,Bhayangkara Utd,Bali United Pusam,38,35,27,45,55,63,37,Forebet
07/11/2025,9:35,Adelaide United,WS Wanderers,27,50,22,54,46,51,49,Forebet
07/11/2025,10:44,Keshla FK,Mil-Mugan,27,44,30,60,40,37,63,Forebet
07/11/2025,11:00,FC Molodechno,MKK-Dnepr,25,6,69,52,48,43,57,Forebet
07/11/2025,11:00,Merani Martvili,Dinamo-2 Tbilisi,42,24,34,39,61,57,43,Forebet
07/11/2025,11:00,Saburtalo Tbilisi 2,Sioni Bolnisi,34,49,17,61,39,51,49,Forebet
07/11/2025,11:00,Nizhny Novgorod U19,Baltika U19,52,26,22,35,65,57,43,Forebet
07/11/2025,11:00,Nyva Vinnytsya,Bukovyna II,46,29,25,20,80,72,28,Forebet
07/11/2025,11:00,Kolos Kovalivka II,FK Trostyanets,33,32,35,53,47,49,51,Forebet
07/11/2025,11:30,FC Fastav Zlin U19,Karvina U19,40,18,42,26,74,71,29,Forebet
07/11/2025,11:30,MS Jerusalem,Ironi Kiryat Gat,29,34,37,70,30,49,51,Forebet
07/11/2025,11:30,Hapoel Marmorek,Nordia Jerusalem,35,37,28,34,66,57,43,Forebet
07/11/2025,11:45,Perth Glory,CC Mariners,28,34,38,45,55,51,49,Forebet
07/11/2025,11:45,Lokomotiv Kyiv,Hirnyk-Sport,73,15,12,69,31,41,59,Forebet
