DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025-11-10,00:30,Atlético Tucumán,Godoy Cruz,46,30,24,66,34,42,58,BCL
2025-11-10,00:30,Tigre,Estudiantes LP,26,34,40,75,25,35,65,BCL
2025-11-10,20:00,Gimnasia LP,Velez Sarsfield,26,32,42,73,27,35,65,BCL
2025-11-10,22:00,Deportivo Riestra,Independiente,28,34,38,77,23,31,69,BCL
2025-11-10,22:00,Botafogo SP,Amazonas,47,29,24,66,34,41,59,BCL
2025-11-10,22:00,Chapecoense,America MG,51,27,22,59,41,45,55,BCL
2025-11-10,15:30,Dunav Ruse,Fratria,60,25,15,59,41,41,59,BCL
2025-11-10,01:30,Independiente Santa Fe,Deportivo Cali,57,26,17,59,41,43,57,BCL
2025-11-10,18:00,Esbjerg,Middelfart,60,21,19,43,57,57,43,BCL
2025-11-10,20:00,Cheltenham,Notts County,21,26,53,49,51,57,43,BCL
2025-11-10,13:00,Ilioupoli,Kallithea,15,23,62,57,43,44,56,BCL
2025-11-10,17:00,Hapoel Rishon LeZion,Hapoel Hadera,51,25,24,45,55,57,43,BCL
2025-11-10,17:00,Kiryat Yam SC,Maccabi Kabilio Jaffa,59,23,18,43,57,57,43,BCL
2025-11-10,17:00,Ironi Modiin,Hapoel Afula,55,25,20,41,59,61,39,BCL
2025-11-10,12:00,Sofapaka,Posta Rangers FC,47,28,25,65,35,43,57,BCL
2025-11-10,12:00,Shkendija,Makedonija GjP,76,18,6,37,63,40,60,BCL
2025-11-10,12:00,Sileks,Shkupi 1927,83,12,5,27,73,42,58,BCL
2025-11-10,20:00,Sportivo Ameliano,2 de Mayo,41,27,32,61,39,45,55,BCL
2025-11-10,22:30,Club Atlético Tembetary,Nacional Asuncion,19,24,57,45,55,53,47,BCL
2025-11-10,20:00,AD Tarma,CD Los Chankas,64,22,14,42,58,57,43,BCL
2025-11-10,16:00,ŁKS Łódź II,Śląsk Wrocław II,29,36,35,41,59,61,39,BCL
2025-11-10,17:30,ASA Targu Mures,Politehnica Iasi,46,27,27,42,58,55,45,BCL
2025-11-10,16:30,Fakel,Spartak Kostroma,52,29,19,70,30,37,63,BCL
2025-11-10,19:30,Burgos,CD Castellon,30,37,33,58,42,53,47,BCL
2025-11-10,13:30,Jeunesse Sportive Omrane,Olympique Béja,63,25,12,65,35,41,59,BCL
2025-11-10,02:00,San Diego FC,Portland Timbers,65,19,16,31,69,65,35,BCL
2025-11-10,13:00,Surkhon,Shortan,68,22,10,54,46,41,59,BCL
2025-11-10,11:00,Nam Dinh,Ha Noi,46,24,30,38,62,66,34,BCL
2025-11-10,12:15,Công An Nhân Dân,Hồng Lĩnh Hà Tĩnh,78,15,7,32,68,43,57,BCL
