DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025-11-10,00:30,Atl. Tucuman , Godoy Cruz,36,37,27,67,33,39,61,PREMA
2025-11-10,00:30,Tigre Victoria , Estudiantes LP,26,43,31,67,33,48,52,PREMA
2025-11-10,01:30,Santa Fe Bogota , Deportivo Cali,42,30,28,53,47,50,50,PREMA
2025-11-10,01:30,Marathon , Platense,51,29,20,47,53,56,44,PREMA
2025-11-10,02:00,San Diego FC , Portland Timbers,43,31,26,35,65,61,39,PREMA
2025-11-10,10:00,Hulbuk Vose , Ravshan Kulob,19,24,57,61,39,46,54,PREMA
2025-11-10,10:00,Istiklol , Eskhata,43,32,25,57,43,51,49,PREMA
2025-11-10,10:00,Panjsher Balkh , Khosilot,23,24,53,51,49,55,45,PREMA
2025-11-10,11:00,Nam Dinh , Ha Noi FC,33,17,50,41,59,66,34,PREMA
2025-11-10,12:00,Sofapaka , Posta Rangers,25,32,43,45,55,52,48,PREMA
2025-11-10,12:00,Shkendija 79 , Makedonija GP,61,19,20,55,45,47,53,PREMA
2025-11-10,12:00,Sileks Kratovo , Shkupi Skopje,91,5,3,38,62,53,47,PREMA
2025-11-10,12:15,Cong An Ha Noi , Hong Linh Ha Tinh,43,31,26,60,40,54,46,PREMA
2025-11-10,13:00,Ilioupoli , Athens Kallithea,25,33,42,50,50,51,49,PREMA
2025-11-10,13:00,FC Chelyabinsk , Ufa,40,39,21,60,40,45,55,PREMA
2025-11-10,13:00,Termez Surkhon , Shurtan Guzar,49,30,21,54,46,46,54,PREMA
2025-11-10,13:30,JS El Omrane , Olympique Beja,66,15,19,66,34,22,78,PREMA
2025-11-10,15:00,Kun Khalifat , Rivers United,19,53,28,75,25,39,61,PREMA
2025-11-10,15:00,Plateau United , Bendel Insurance,52,24,24,75,25,42,58,PREMA
2025-11-10,15:30,Dunav Ruse , Fratria Varna,46,12,42,56,44,41,59,PREMA
2025-11-10,16:30,Fakel Voronezh , Spartak Kostroma,41,22,37,64,36,49,51,PREMA
2025-11-10,17:00,Ironi Modi'in , Hapoel Afula,51,21,28,38,62,63,37,PREMA
2025-11-10,17:00,Kiryat Yam , Maccabi Jaffa,48,26,26,44,56,57,43,PREMA
2025-11-10,17:00,Rishon LeZion , Hapoel Hadera,47,30,23,47,53,51,49,PREMA
2025-11-10,18:00,Esbjerg , Middelfart,60,27,13,48,52,50,50,PREMA
2025-11-10,19:30,Salernitana , Crotone,37,32,31,44,56,46,54,PREMA
2025-11-10,19:30,Burgos , Castellon,51,27,22,48,52,59,41,PREMA
2025-11-10,20:00,Gimnasia LP , Velez Sarsfield,33,23,44,60,40,37,63,PREMA
2025-11-10,20:00,Cheltenham Town , Notts County,26,17,57,53,47,49,51,PREMA
2025-11-10,20:00,Sp. Ameliano , 2 de Mayo,28,24,48,58,42,50,50,PREMA
2025-11-10,20:00,ADT Tarma , Los Chankas CYC,47,10,43,45,55,50,50,PREMA
2025-11-10,22:00,Dep. Riestra , Independiente,30,36,34,67,33,37,63,PREMA
2025-11-10,22:00,Botafogo SP , Amazonas AM,36,33,31,61,39,48,52,PREMA
2025-11-10,22:00,Chapecoense SC , America MG,53,19,28,58,42,49,51,PREMA
2025-11-10,22:30,Atl. Tembetary , Nacional As.,28,30,42,62,38,54,46,PREMA
